,LLAVEMOD,SEXO,SEXO_HM,EDAD_V,NIV,NIVED_T,REGION,REGION_T,TLOC,p461,p462,p463,p464,p465,p466,p461_t,p462_t,p463_t,p464_t,p465_t,p466_t,t46_calif
11339,1117401101,2,F,71,3,Basic,6,South,1,1,1,2,2,2,3,Always,Always,Sometimes,Sometimes,Sometimes,Never,7.916666666666666
11340,1117502102,1,M,19,6,high School,3,Bajío,2,2,2,2,2,2,2,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,7.5
11341,1117602101,1,M,60,3,Basic,2,Northeast,1,1,1,2,3,2,2,Always,Always,Sometimes,Never,Sometimes,Sometimes,7.916666666666666
11342,1117707102,2,F,62,2,Basic,2,Northeast,4,1,1,1,2,2,2,Always,Always,Always,Sometimes,Sometimes,Sometimes,7.916666666666666
11343,1117801101,1,M,57,3,Basic,4,CDMX,1,1,1,2,2,2,1,Always,Always,Sometimes,Sometimes,Sometimes,Always,8.75
11344,1117902101,1,M,69,8,Undergraduate,4,CDMX,1,1,1,1,3,3,1,Always,Always,Always,Never,Never,Always,7.5
11345,1118003102,2,F,64,0,No studies,5,South/East,4,1,1,2,3,1,3,Always,Always,Sometimes,Never,Always,Never,7.916666666666666
11346,1118107101,2,F,37,2,Basic,6,South,4,1,1,3,2,1,2,Always,Always,Never,Sometimes,Always,Sometimes,9.166666666666666
11348,1118319101,2,F,53,3,Basic,6,South,4,1,1,3,1,3,2,Always,Always,Never,Always,Never,Sometimes,8.75
11349,1118403102,2,F,42,8,Undergraduate,3,Bajío,1,2,1,1,3,1,3,Sometimes,Always,Always,Never,Always,Never,7.083333333333333
11350,1118509102,2,F,36,8,Undergraduate,6,South,2,2,2,2,2,2,2,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,7.5
11351,1118604102,2,F,36,6,high School,2,Northeast,1,1,2,2,1,3,2,Always,Sometimes,Sometimes,Always,Never,Sometimes,7.916666666666666
11352,1118703101,1,M,49,6,high School,6,South,1,2,1,1,2,3,2,Sometimes,Always,Always,Sometimes,Never,Sometimes,7.083333333333333
11353,1118802101,2,F,42,8,Undergraduate,3,Bajío,1,1,1,2,2,2,3,Always,Always,Sometimes,Sometimes,Sometimes,Never,7.916666666666666
11354,1118914101,1,M,52,3,Basic,5,South/East,4,1,2,3,1,2,3,Always,Sometimes,Never,Always,Sometimes,Never,8.333333333333334
11355,1119004101,2,F,45,6,high School,5,South/East,4,1,1,3,1,1,3,Always,Always,Never,Always,Always,Never,9.166666666666666
11356,1119104102,2,F,42,6,high School,6,South,2,1,1,3,2,3,2,Always,Always,Never,Sometimes,Never,Sometimes,8.333333333333334
11357,1119204101,2,F,79,2,Basic,5,South/East,2,1,1,3,2,2,2,Always,Always,Never,Sometimes,Sometimes,Sometimes,8.75
11358,1119302102,2,F,32,8,Undergraduate,2,Northeast,1,1,1,2,1,3,2,Always,Always,Sometimes,Always,Never,Sometimes,8.333333333333334
11359,1119407101,1,M,42,10,Graduate,1,Northwest,2,1,1,3,1,1,1,Always,Always,Never,Always,Always,Always,10.0
